Voltage,Current,,,
0.00E+00,-5.66E-06,,,
1.00E-02,1.82E-05,,,
2.00E-02,4.27E-05,,,
3.00E-02,6.61E-05,,,
4.00E-02,9.01E-05,,,
5.00E-02,1.14E-04,,,
6.00E-02,1.38E-04,,,
7.00E-02,1.61E-04,,,
8.00E-02,1.85E-04,,,
9.00E-02,2.08E-04,,,
1.00E-01,2.32E-04,,,
1.10E-01,2.55E-04,,,
1.20E-01,2.79E-04,,,
1.30E-01,3.02E-04,,,
1.40E-01,3.26E-04,,,
1.50E-01,3.49E-04,,,
1.60E-01,3.72E-04,,,
1.70E-01,3.96E-04,,,
1.80E-01,4.18E-04,,,
1.90E-01,4.42E-04,,,
2.00E-01,4.65E-04,,,
2.10E-01,4.88E-04,,,
2.20E-01,5.11E-04,,,
2.30E-01,5.35E-04,,,
2.40E-01,5.58E-04,,,
2.50E-01,5.81E-04,,,
2.60E-01,6.03E-04,,,
2.70E-01,6.25E-04,,,
2.80E-01,6.49E-04,,,
2.90E-01,6.71E-04,,,
3.00E-01,6.94E-04,,,
3.10E-01,7.17E-04,,,
3.20E-01,7.39E-04,,,
3.30E-01,7.62E-04,,,
3.40E-01,7.84E-04,,,
3.50E-01,8.07E-04,,,
3.60E-01,8.29E-04,,,
3.70E-01,8.51E-04,,,
3.80E-01,8.73E-04,,,
3.90E-01,8.95E-04,,,
4.00E-01,9.17E-04,,,
4.10E-01,9.40E-04,,,
4.20E-01,9.62E-04,,,
4.30E-01,9.83E-04,,,
4.40E-01,1.00E-03,,,
4.50E-01,1.00E-03,,,
4.60E-01,1.00E-03,,,
4.70E-01,1.00E-03,,,
4.80E-01,1.00E-03,,,
4.90E-01,1.00E-03,,,
5.00E-01,1.00E-03,,,
5.10E-01,1.00E-03,,,
5.20E-01,1.00E-03,,,
5.30E-01,1.00E-03,,,
5.40E-01,1.00E-03,,,
5.50E-01,1.00E-03,,,
5.60E-01,1.00E-03,,,
5.70E-01,1.00E-03,,,
5.80E-01,1.00E-03,,,
5.90E-01,1.00E-03,,,
6.00E-01,1.00E-03,,,
6.10E-01,1.00E-03,,,
6.20E-01,1.00E-03,,,
6.30E-01,1.00E-03,,,
6.40E-01,1.00E-03,,,
6.50E-01,1.00E-03,,,
6.60E-01,1.00E-03,,,
6.70E-01,1.00E-03,,,
6.80E-01,1.00E-03,,,
6.90E-01,1.00E-03,,,
7.00E-01,1.00E-03,,,
7.10E-01,1.00E-03,,,
7.20E-01,1.00E-03,,,
7.30E-01,1.00E-03,,,
7.40E-01,1.00E-03,,,
7.50E-01,1.00E-03,,,
7.60E-01,1.00E-03,,,
7.70E-01,1.00E-03,,,
7.80E-01,1.00E-03,,,
7.90E-01,1.00E-03,,,
8.00E-01,1.00E-03,,,
8.10E-01,1.00E-03,,,
8.20E-01,1.00E-03,,,
8.30E-01,1.00E-03,,,
8.40E-01,1.00E-03,,,
8.50E-01,1.00E-03,,,
8.60E-01,1.00E-03,,,
8.70E-01,1.00E-03,,,
8.80E-01,1.00E-03,,,
8.90E-01,1.00E-03,,,
9.00E-01,1.00E-03,,,
9.10E-01,1.00E-03,,,
9.20E-01,1.00E-03,,,
9.30E-01,1.00E-03,,,
9.40E-01,1.00E-03,,,
9.50E-01,1.00E-03,,,
9.60E-01,1.00E-03,,,
9.70E-01,1.00E-03,,,
9.80E-01,1.00E-03,,,
9.90E-01,1.00E-03,,,
1.00E+00,1.00E-03,,,
